Coord. X =,110.6424,110,0.6424,0.1,-0.1,FAIL
Coord. Y =,260.2367,260,0.2367,0.5,-0.5,PASS
Coord. Z =,4.4745,0,4.4745,0.1,-0.1,FAIL
Diameter =,0.3988,0.4,-0.0012,0.1,-0.1,PASS
Radius =,0.1994,0.2,-0.0006,,,
Circular. =,0.0029,0.02,PASS,,,
TP (3D) =,9.0531,0.2,FAIL,,,
